Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Randomized?,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Reduction Blow Up,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,Geometric Covering Problems,Triangles Cover Triangle,Geometric Covering Problems,Hole in Union,21,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Hole in Union,Geometric Covering Problems,Triangles Cover Triangle,22,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Triangles Cover Triangle,Geometric Covering Problems,Triangle Measure,23,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Strips Cover Box,Geometric Covering Problems,Point Covering,24,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Visibility Problems,Visibility Between Segments,25,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Visibility Problems,Visibility From Infinity,26,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Triangles Cover Triangle,Geometric Visibility Problems,Visible Triangle,27,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Visibility Problems,Visible Triangle,Geometric Covering Problems,Triangles Cover Triangle,28,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Motion Planning Problems,Planar Motion Planning,29,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Triangles Cover Triangle,Motion Planning Problems,3D Motion Planning,30,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,3SUM,3SUM',Dihedral Rotation Queries,Static Dihedral Rotation Queries,31,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Michael Soss, Jeff Erickson, Mark Overmars, Preprocessing chains for fast dihedral rotations is hard or even impossible, Computational Geometry, Volume 26, Issue 3, 2003, Pages 235-246",https://doi.org/10.1016/S0925-7721(02)00156-6,2003,,,,
,3SUM,3SUM,Local Alignment,Local Alignment,32,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\delta-\epsilon}$ for two strings of size $n$ and alphabet of size $n^{1-\delta}$ for some $\espilon > 0$,$\delta \in (0,1)$
then: from-time: $n^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,Derandomized in [FKP'23]: https://arxiv.org/abs/2310.12913,,
,Geometric Base,GeomBase,Binary Space Partitioning,Perfect 2D BSP,33,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N log N)$ for some $\epsilon' > 0$",2,"De Berg, Mark, Marko M. de Groot, and Mark H. Overmars. ""Perfect binary space partitions."" Computational geometry 7.1-2 (1997): 81-91.",https://www.sciencedirect.com/science/article/pii/0925772195000453,1997,,,,
,Geometric Incidence Problems,Point on 3 Lines,Convex Hull,"Minimum-Area Star-Shaped Hull, Restricted",34,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N log N)$ for some $\epsilon' > 0$",2,"Arkin, Esther M., et al. ""On minimum-area hulls."" Algorithmica 21 (1998): 119-136.",https://link.springer.com/article/10.1007/PL00009204,1998,,,,
,Geometric Covering Problems,Strips Cover Box,Polyhedron Fillability Problem,1-Fillability Problem,35,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N log N)$ for some $\epsilon' > 0$",2,"Bose, Prosenjit, Marc Van Kreveld, and Godfried Toussaint. ""Filling polyhedral molds."" Computer-Aided Design 30.4 (1998): 245-254.",https://www.sciencedirect.com/science/article/abs/pii/S0010448597000754,1998,,,,
,Geometric Base,GeomBase,Geometric Color-Spanning Problem,Smallest Color-Spanning Strip,36,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N)$ for some $\epsilon' > 0$",2,"Abellanas, Manuel, et al. ""Smallest color-spanning objects."" Algorithms—ESA 2001: 9th Annual European Symposium Århus, Denmark, August 28–31, 2001 Proceedings 9. Springer Berlin Heidelberg, 2001.
",https://link.springer.com/chapter/10.1007/3-540-44676-1_23,2001,,Not explicitly stated in paper but I believe it's possible to reduce from GeomBase,,
,3SUM,3SUM',Interval Containment,Equal Distance,37,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'} + O(N)$ for some $\epsilon' > 0$",2,"Barequet, Gill, and Sariel Har-Peled. ""Polygon containment and translational in-hausdorff-distance between segment sets are 3sum-hard."" International Journal of Computational Geometry & Applications 11.04 (2001): 465-474.",https://dl.acm.org/doi/abs/10.5555/314500.314973,2001,,,,
,3SUM,3SUM',Interval Containment,Segments Containing Points,38,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'} + O(N)$ for some $\epsilon' > 0$",2,"Barequet, Gill, and Sariel Har-Peled. ""Polygon containment and translational in-hausdorff-distance between segment sets are 3sum-hard."" International Journal of Computational Geometry & Applications 11.04 (2001): 465-474.",https://dl.acm.org/doi/abs/10.5555/314500.314973,2001,,,,
,Interval Containment,Segments Containing Points,Geometric Containment Problems,Polygon Containment under Translation,39,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N log N)$ for some $\epsilon' > 0$",2,"Barequet, Gill, and Sariel Har-Peled. ""Polygon containment and translational in-hausdorff-distance between segment sets are 3sum-hard."" International Journal of Computational Geometry & Applications 11.04 (2001): 465-474.",https://dl.acm.org/doi/abs/10.5555/314500.314973,2001,,,,
,Interval Containment,Segments Containing Points,Geometric Containment Problems,Convex Polygon Containment under Rotation,40,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N log N)$ for some $\epsilon' > 0$",2,"Barequet, Gill, and Sariel Har-Peled. ""Polygon containment and translational in-hausdorff-distance between segment sets are 3sum-hard."" International Journal of Computational Geometry & Applications 11.04 (2001): 465-474.",https://dl.acm.org/doi/abs/10.5555/314500.314973,2001,,,,
,Interval Containment,Segments Containing Points,Geometric Containment Problems,Convex Polygon Containment under Rotation and Translation,41,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N log N)$ for some $\epsilon' > 0$",2,"Barequet, Gill, and Sariel Har-Peled. ""Polygon containment and translational in-hausdorff-distance between segment sets are 3sum-hard."" International Journal of Computational Geometry & Applications 11.04 (2001): 465-474.",https://dl.acm.org/doi/abs/10.5555/314500.314973,2001,,,,
,Interval Containment,Segments Containing Points,Hausdorff Distance,1-Sided Segment Hausdorff Distance under Translation,42,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'} + O(N)$ for some $\epsilon' > 0$",2,"Barequet, Gill, and Sariel Har-Peled. ""Polygon containment and translational in-hausdorff-distance between segment sets are 3sum-hard."" International Journal of Computational Geometry & Applications 11.04 (2001): 465-474.",https://dl.acm.org/doi/abs/10.5555/314500.314973,2001,,,,
,Interval Containment,Segments Containing Points,Hausdorff Distance,Segment Hausdorff Distance under Translation,43,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'} + O(N)$ for some $\epsilon' > 0$",2,"Barequet, Gill, and Sariel Har-Peled. ""Polygon containment and translational in-hausdorff-distance between segment sets are 3sum-hard."" International Journal of Computational Geometry & Applications 11.04 (2001): 465-474.",https://dl.acm.org/doi/abs/10.5555/314500.314973,2001,,,,
,Geometric Base,GeomBase,Terrain Horizon Problems,All Distant Horizon Edges,44,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N log N)$ for some $\epsilon' > 0$",2,"Archambault, Daniel, Willam Evans, and David Kirkpatrick. ""Computing the set of all the distant horizons of a terrain."" International Journal of Computational Geometry & Applications 15.06 (2005): 547-563.",https://www.worldscientific.com/doi/abs/10.1142/S0218195905001841,2005,,,,
,Geometric Incidence Problems,3 Points on Line,Linear Regression Estimators,Univariate Least Median-of-Squares Estimator,45,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N)$ for some $\epsilon' > 0$",2,"Erickson, Jeff, Sariel Har-Peled, and David Mount. ""On the least median square problem."" Proceedings of the twentieth annual symposium on Computational geometry. 2004.",https://link.springer.com/article/10.1007/s00454-006-1267-6,2006,,,,
,Geometric Incidence Problems,Point on 3 Lines,Geometric Visibility Problems,Approximate Max-Area Visible Polygon,46,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$ and for a specific constant $c$ 
then: from-time: $N^{2-\epsilon'}+O(N \log N)$ for some $\epsilon' > 0$",2,"Cheong, Otfried, Alon Efrat, and Sariel Har-Peled. ""Finding a guard that sees most and a shop that sells most."" Discrete & Computational Geometry 37 (2007): 545-563.",https://link.springer.com/article/10.1007/s00454-007-1328-5,2007,,,,
,Geometric Incidence Problems,Point on 3 Lines,Geometric Covering Problems,Max Depth,47,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}+O(N)$ for some $\epsilon' > 0$",2,"Aronov, Boris, and Sariel Har-Peled. ""On approximating the depth and related problems."" SIAM Journal on Computing 38.3 (2008): 899-921.",https://epubs.siam.org/doi/10.1137/060669474,2008,,,,
,3SUM,3SUM,String Search,Shift-Ham,48,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $NM^{1-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon}+O(N log N)$",2,"Butman, Ayelet, et al. ""Pattern matching under polynomial transformation."" SIAM Journal on Computing 42.2 (2013): 611-633.",https://arxiv.org/abs/1109.1494,2011,,,,
,Geometric Base,GeomBase,String Search,ShiftScale-Ham,49,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $NM^{1-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon}+O(N log N)$",2,"Butman, Ayelet, et al. ""Pattern matching under polynomial transformation."" SIAM Journal on Computing 42.2 (2013): 611-633.",https://arxiv.org/abs/1109.1494,2011,,,,
,3SUM,3SUM,3SUM,Convolution 3SUM,50,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon} \log^{O(1)}(U))$ for integers bounded by $U$",2,"Chan, Timothy M., and Qizheng He. ""Reducing 3SUM to convolution-3SUM."" Symposium on Simplicity in Algorithms. Society for Industrial and Applied Mathematics, 2020.",https://epubs.siam.org/doi/10.1137/1.9781611976014.1,2020,,Previously randomized (in [Patrascu 2010]: https://people.csail.mit.edu/mip/papers/mp-3sum/paper.pdf ),,
,3SUM,Convolution 3SUM,String Search,Jumbled Indexing,51,,,,,,word RAM,3SUM Hypothesis,,"if: to-time is $N^{2-\epsilon}$ for preprocessing for some $\epsilon > 0$ AND $N^{1-\delta}$ for queries for some $\delta > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Amir, Amihood, et al. ""On hardness of jumbled indexing."" International Colloquium on Automata, Languages, and Programming. Berlin, Heidelberg: Springer Berlin Heidelberg, 2014.",https://arxiv.org/abs/1405.0189,2014,,Improved in [GKLP'16]: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2016.45,,
,3SUM,Convolution 3SUM,Hausdorff Distance,Point Hausdorff Distance under Translation,52,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$ where $m = O(1)$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Bringmann, Karl, and André Nusser. ""Translating Hausdorff is hard: fine-grained lower bounds for Hausdorff distance under translation."" arXiv preprint arXiv:2101.07696 (2021).",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.SoCG.2021.18,2021,,,,
,3SUM,Convolution 3SUM,Geometric Covering Problems,Weighted Smallest k-Enclosing Rectangle,53,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon})$",2,"Chan, Timothy M., and Sariel Har-Peled. ""Smallest k-enclosing rectangle revisited."" Discrete & Computational Geometry 66.2 (2021): 769-791.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.SoCG.2019.23,2019,,,,
,3SUM,Convolution 3SUM,Graph Triangle Problems,Zero Triangle Detection,54,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{3-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon/6})$",3,"Williams, Virginia Vassilevska, and Ryan Williams. ""Finding, Minimizing, and Counting Weighted Subgraphs."" SIAM Journal on Computing 42.3 (2013): 831-854.",https://epubs.siam.org/doi/10.1137/09076619X,2013,,Originally $N^{2.5-\epsilon}$,,
,Graph Triangle Problems,Zero Triangle Detection,Graph Triangle Problems,$\Delta$-Matching Triangles,55,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{3-\epsilon}$ for some $\epsilon > 0$ and $\omega(1) < \Delta < o(\log n)$
then: from-time: $O(N^{3-\epsilon+o(1)} + N)$",3,"Abboud, Amir, Virginia Vassilevska Williams, and Huacheng Yu. ""Matching triangles and basing hardness on an extremely popular conjecture."" Proceedings of the forty-seventh annual ACM symposium on Theory of computing. 2015.",https://dspace.mit.edu/bitstream/handle/1721.1/137622/15m1050987.pdf?sequence=2&isAllowed=y,2015,,,,
,Graph Triangle Problems,Zero Triangle Detection,Graph Triangle Problems,Triangle Collection*,56,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{3-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{3-\epsilon+o(1)} + N)$",3,"Abboud, Amir, Virginia Vassilevska Williams, and Huacheng Yu. ""Matching triangles and basing hardness on an extremely popular conjecture."" Proceedings of the forty-seventh annual ACM symposium on Theory of computing. 2015.",https://dspace.mit.edu/bitstream/handle/1721.1/137622/15m1050987.pdf?sequence=2&isAllowed=y,2015,,,,
